# NHTSA vPIC decode of every VIN in crash-test-vehicles.csv, retrieved 2026-09-21.
# error_code is vPIC's own: 0 decoded clean, 1 check digit wrong, 400 illegal characters.
# Regenerate with: go run ./tools/corpus vpic
vin,error_code,manufacturer,manufacturer_id,make,model,model_year,vehicle_type,plant_country
00000000000000000,"1,7,11,400",,,,,,,
16BJ6P1A0EV139434,"1,7",,,,,,,
19UDE2F32GA003066,0,"AMERICAN HONDA MOTOR CO., INC.",988,ACURA,ILX,2016,PASSENGER CAR,UNITED STATES (USA)
19UDE2F33GA006087,0,"AMERICAN HONDA MOTOR CO., INC.",988,ACURA,ILX,2016,PASSENGER CAR,UNITED STATES (USA)
19UDE2F38GA003024,0,"AMERICAN HONDA MOTOR CO., INC.",988,ACURA,ILX,2016,PASSENGER CAR,UNITED STATES (USA)
19UDE4G71PA004819,0,"AMERICAN HONDA MOTOR CO., INC.",988,ACURA,Integra,2023,PASSENGER CAR,UNITED STATES (USA)
19UDE4G74PA005267,0,"AMERICAN HONDA MOTOR CO., INC.",988,ACURA,Integra,2023,PASSENGER CAR,UNITED STATES (USA)
19UDE4G79PA005104,0,"AMERICAN HONDA MOTOR CO., INC.",988,ACURA,Integra,2023,PASSENGER CAR,UNITED STATES (USA)
19UDE4H35PA007685,0,"AMERICAN HONDA MOTOR CO., INC.",988,ACURA,Integra,2023,PASSENGER CAR,UNITED STATES (USA)
19UUA56653A013513,0,"AMERICAN HONDA MOTOR CO., INC.",988,ACURA,TL,2003,PASSENGER CAR,UNITED STATES (USA)
19UUA56681A002096,0,"AMERICAN HONDA MOTOR CO., INC.",988,ACURA,TL,2001,PASSENGER CAR,UNITED STATES (USA)
19UUA56681A004513,0,"AMERICAN HONDA MOTOR CO., INC.",988,ACURA,TL,2001,PASSENGER CAR,UNITED STATES (USA)
19UUA66204A008014,0,"AMERICAN HONDA MOTOR CO., INC.",988,ACURA,TL,2004,PASSENGER CAR,UNITED STATES (USA)
19UUA66264A006543,0,"AMERICAN HONDA MOTOR CO., INC.",988,ACURA,TL,2004,PASSENGER CAR,UNITED STATES (USA)
19UUA86209A001518,0,"AMERICAN HONDA MOTOR CO., INC.",988,ACURA,TL,2009,PASSENGER CAR,UNITED STATES (USA)
19UUA86298A002321,"1,4,14","AMERICAN HONDA MOTOR CO., INC.",988,ACURA,,2008,PASSENGER CAR,UNITED STATES (USA)
19UUA8F24CA004767,0,"AMERICAN HONDA MOTOR CO., INC.",988,ACURA,TL,2012,PASSENGER CAR,UNITED STATES (USA)
19UUA8F29CA006062,0,"AMERICAN HONDA MOTOR CO., INC.",988,ACURA,TL,2012,PASSENGER CAR,UNITED STATES (USA)
19UUA9F50CA003096,0,"AMERICAN HONDA MOTOR CO., INC.",988,ACURA,TL,2012,PASSENGER CAR,UNITED STATES (USA)
19UUA9F51CA010431,0,"AMERICAN HONDA MOTOR CO., INC.",988,ACURA,TL,2012,PASSENGER CAR,UNITED STATES (USA)
19UUB1F54FA009034,0,"AMERICAN HONDA MOTOR CO., INC.",988,ACURA,TLX,2015,PASSENGER CAR,UNITED STATES (USA)
19UUB2F37FA012255,0,"AMERICAN HONDA MOTOR CO., INC.",988,ACURA,TLX,2015,PASSENGER CAR,UNITED STATES (USA)
19UUB3F54FA002547,0,"AMERICAN HONDA MOTOR CO., INC.",988,ACURA,TLX,2015,PASSENGER CAR,UNITED STATES (USA)
19UUB5F31MA004425,0,"AMERICAN HONDA MOTOR CO., INC.",988,ACURA,TLX,2021,PASSENGER CAR,UNITED STATES (USA)
19UUB5F38MA001490,0,"AMERICAN HONDA MOTOR CO., INC.",988,ACURA,TLX,2021,PASSENGER CAR,UNITED STATES (USA)
19UUB6F30MA002994,0,"AMERICAN HONDA MOTOR CO., INC.",988,ACURA,TLX,2021,PASSENGER CAR,UNITED STATES (USA)
19VDE1F50DE007936,0,"AMERICAN HONDA MOTOR CO., INC.",988,ACURA,ILX,2013,PASSENGER CAR,UNITED STATES (USA)
19VDE1F51DE003992,0,"AMERICAN HONDA MOTOR CO., INC.",988,ACURA,ILX,2013,PASSENGER CAR,UNITED STATES (USA)
19VDE3F38DE301319,0,"AMERICAN HONDA MOTOR CO., INC.",988,ACURA,ILX,2013,PASSENGER CAR,UNITED STATES (USA)
19VDE3F70DE300569,0,"AMERICAN HONDA MOTOR CO., INC.",988,ACURA,ILX,2013,PASSENGER CAR,UNITED STATES (USA)
19VDE3F72DE300282,0,"AMERICAN HONDA MOTOR CO., INC.",988,ACURA,ILX,2013,PASSENGER CAR,UNITED STATES (USA)
19VDE3F76DE300303,0,"AMERICAN HONDA MOTOR CO., INC.",988,ACURA,ILX,2013,PASSENGER CAR,UNITED STATES (USA)
19XFA1F30BE006390,0,"AMERICAN HONDA MOTOR CO., INC.",988,HONDA,Civic,2011,PASSENGER CAR,UNITED STATES (USA)
