# NHTSA vPIC World Manufacturer Identifier table, retrieved 2026-09-21.
# Regenerate with: go run ./tools/wmi-import
# Left out because they cannot appear in a VIN: 1OY, 4OG
wmi,manufacturer_id,manufacturer,make,vehicle_type,country
101,11778,MO TRAILERS CORP.,MO TRAILERS CORP.,Trailer,UNITED STATES (USA)
102,23465,CAMELOT MOTORS,CAMELOT,Passenger Car,UNITED STATES (USA)
109013,15279,ODOM'S MANUFACTURING INC  WELDING,,Trailer,UNITED STATES (USA)
109015,15285,"OREGON MANUFACTURING COMPANY, INC",,Trailer,UNITED STATES (USA)
109016,15278,ODOM TRAILER MFG. CO INC,,Trailer,UNITED STATES (USA)
109021,1677,WILLIAMSON OCEAN-TRAILERS,,Trailer,UNITED STATES (USA)
109022,15281,ON THE ROAD,,Trailer,UNITED STATES (USA)
109024,8288,OTTAWA TRUCK CORPORATION,,Truck,UNITED STATES (USA)
109123,18076,OK TRAILER MFG.,,Trailer,UNITED STATES (USA)
109125,17237,OUTDOOR ALUMINUM,,Trailer,UNITED STATES (USA)
109127,11627,ONAN CORPORATION,,Trailer,UNITED STATES (USA)
109131,18117,OVERLAND R.V. DEPOT,,Trailer,UNITED STATES (USA)
109133,17781,OREGON WOODCHUCK INC.,,Trailer,UNITED STATES (USA)
109134,17345,"OMEGA MANUFACTURING, INC",,Trailer,UNITED STATES (USA)
109135,10977,MIKE OLSEFSKI'S AUTO ACCESSORIES,,Trailer,UNITED STATES (USA)
109136,18018,"OMEGA SOUTHWEST MFG., INC.",,Trailer,UNITED STATES (USA)
109137,17806,"OZARK SALES AND SERVICE, INC.",,Trailer,UNITED STATES (USA)
10B,5083,BRENNER TANK LLC,"BRENNER TANK, WABASH, BRENNER/BEALL/LAFAYETTE, BRENNER, WABASH TANKS",Trailer,UNITED STATES (USA)
10H,12469,"HUDSON BROTHERS TRAILER MFG., INC.",HUDSON BROTHERS,Trailer,UNITED STATES (USA)
10R,7721,TEXTRON E-Z-GO LLC,"E-Z-GO DIVISION OF TEXTRON, CUSHMAN",Low Speed Vehicle (LSV),UNITED STATES (USA)
10T,1058,OSHKOSH CORPORATION,"OSHKOSH, PIERCE MANUFACTURING, JLG, MCNEILUS, JERR-DAN, LONDON, FRONTLINE, SMIT",Truck,UNITED STATES (USA)
10W,15288,CLASSIC MANUFACTURING INC,OWENS CLASSIC,Trailer,UNITED STATES (USA)
10Z,15280,"OMNI TRAILERS, INC",OMNI,Trailer,UNITED STATES (USA)
112,15467,"GENERAL ENGINES CO., INC",EAGER BEAVER,Trailer,UNITED STATES (USA)
119001,1938,1M CUSTOM CAR TRANSPORTS INC,,Trailer,UNITED STATES (USA)
11H,17262,"HENDRICKSON MOBILE EQUIPMENT, INC.",HENDRICKSON,Incomplete Vehicle,UNITED STATES (USA)
11J,18096,MCCULLUGH TRAILERS,MCCULLUGH TRAILERS,Trailer,UNITED STATES (USA)
11L,9159,"C.E. SMITH COMPANY, INC.",CAROLINA RUNNING GEAR,Trailer,UNITED STATES (USA)
11N,15490,"CITY TRAILER SALES, INC",CITY TRAILERS,Trailer,UNITED STATES (USA)
11P,15303,"PLEASANT VIEW MFG. CO., INC",PLEASANT VIEW MFG,Trailer,UNITED STATES (USA)
11R,10931,"REID'S TRAILER, INC.",REID'S TRAILER,Trailer,UNITED STATES (USA)
11U,5967,TRAIL-ET INC,"TRAIL-ET, EQUIBUILT LLC TRAILER",Trailer,UNITED STATES (USA)
11V,13339,KALMAR SOLUTIONS LLC,KALMAR,Truck,UNITED STATES (USA)
11W,17473,"W-W TRAILER MANUFACTURER, INC",W-W,Trailer,UNITED STATES (USA)
11X,15225,LINDIG MANUFACTURING CORPORATION,LINDIG,Trailer,UNITED STATES (USA)
11Y,2847,SAM'S TRAILERS,SAM'S,Trailer,UNITED STATES (USA)
11Z,13444,"BADSEY BULLET U.S.A., INC.","BADSEY BULLET U.S.A, INC.",Motorcycle,UNITED STATES (USA)
123,19306,"SHERMAN + REILLY, INC.",SHERMAN + REILLY,Trailer,UNITED STATES (USA)
127,16159,IDEAL WELDING CO INC,IDEAL,Trailer,UNITED STATES (USA)
129001,8806,"2-G TRAILER CO., LLC",,Trailer,UNITED STATES (USA)
12A,13131,AVANTI MOTOR CORPORATION,AVANTI,Passenger Car,UNITED STATES (USA)
12H,17090,"HOLDEN INDUSTRIES, INC","HOLDEN INDUSTRIES, INC",Trailer,UNITED STATES (USA)
12J,15313,"REBUILDERS & SANDBLASTERS, INC","REBUILDERS & SANDBLASTERS, INC",Trailer,UNITED STATES (USA)
12R,15368,"TERRELL INDUSTRIES, LTD",TERRELL,Trailer,UNITED STATES (USA)
12U,15267,MITCHELL INDUSTRIES INC,MITCHELL INDUSTRIES INC,Trailer,UNITED STATES (USA)
12Z,15291,"PATENT PRODUCTS, INC","PATENT PRODUCTS, INC",Trailer,UNITED STATES (USA)
130,2967,LIGHTLINE PRODUCTS INC,LIGHTLINE PRODUCTS INC,Trailer,UNITED STATES (USA)
137,1174,AM GENERAL LLC,"AM GENERAL, HUMMER",Multipurpose Passenger Vehicle (MPV),UNITED STATES (USA)
138,15382,TRAVALONG INC.,TRAVALONG,Trailer,UNITED STATES (USA)
139002,1940,33 EAST MAINTENANCE INC.,,Trailer,UNITED STATES (USA)
139003,1941,3M DYNAMIC MESSAGE SYSTEMS,,Trailer,UNITED STATES (USA)
13D,17320,"DIXIE CRAFT TRAILERS, INC",DIXIE CRAFT TRAILERS INC,Trailer,UNITED STATES (USA)
13E,16113,ALLEN MANUFACTURING SYSTEMS INC,AMS,Trailer,UNITED STATES (USA)
13K,1243,D & P WELDING,D & P WELDING,Trailer,UNITED STATES (USA)
13N,12268,FONTAINE COMMERCIAL TRAILER INC.,FONTAINE TRAILER CO.,Trailer,UNITED STATES (USA)
13S,3005,"SUNDOWNER TRAILERS, INC.",SUNDOWNER,Trailer,UNITED STATES (USA)
13T,4720,CARRIAGE INC.,CARRIAGE,Trailer,UNITED STATES (USA)
13U,16086,"BESTRAILERS,  INC",BESTRAILERS,Trailer,UNITED STATES (USA)
13W,15412,WOLVERINE WESTERN CORPORATION,WOLVERINE,Incomplete Vehicle,UNITED STATES (USA)
13X,9889,J-10 TRAILERS,J-10 TRAILERS,Trailer,UNITED STATES (USA)
13Y,17222,"STARLITE TRAILERS, INC",STARLITE TRAILERS,Trailer,UNITED STATES (USA)
13Z,17020,"PARKER TRAILER SALES, INC",PARK,Trailer,
141,16170,KARI-KOOL,KARI-KOOL,Trailer,UNITED STATES (USA)
143,15662,"ZOE MOTORS, INC",ZOE MOTORS,Motorcycle,UNITED STATES (USA)
145,15105,"HYUNDAI STEEL INDUSTRIES, INC.","HYUNDAI STEEL INDUSTRIES, INC.",Trailer,UNITED STATES (USA)
148,15379,"TRANSGLOBAL INDUSTRIES, INC",TRANSGLOBAL INDUSTRIES,Trailer,UNITED STATES (USA)
149002,4394,4 STAR FABRICATION,,Trailer,UNITED STATES (USA)
149004,4398,"4X4 TRAILERS, LTD.",,Trailer,UNITED STATES (USA)
14D,13425,CHILTON MANUFACTURING CORPORATION,CHILTON MANUFACTURING CORP.,Trailer,UNITED STATES (USA)
14J,2303,"TRINITY INDUSTRIES, INC.",TRINITY INDUSTRIES,Trailer,UNITED STATES (USA)
14K,12507,INTERSTATE MANUFACTURING CO,INTERSTATE MANUFACTURING,Trailer,UNITED STATES (USA)
14V,11517,WESTERN GOLF CAR MANUFACTURING INC,"WESTERN, EZGO, WESTERN LIDO",Low Speed Vehicle (LSV),UNITED STATES (USA)
14X,1838,GENERAL AUTOMOTIVE CORPORATION,GENERAL AUTOMOTIVE CORPORATION,Incomplete Vehicle,UNITED STATES (USA)
14Y,13661,TM MARINE GROUP,"TM MARINE GROUP, STAR CUSTOM",Trailer,UNITED STATES (USA)
154,15290,PARIS CUSTOM TRAILERS,PARIS,Trailer,UNITED STATES (USA)
159001,13542,FIVE STAR CUSTOM TRAILER,,Trailer,UNITED STATES (USA)
15C,4452,"MCT INDUSTRIES, INC.","MCT INDUSTRIES, INC.",Trailer,UNITED STATES (USA)
15G,1118,GILLIG LLC,GILLIG,Bus,UNITED STATES (USA)
